age_bin,cue_subtype,cue_type,n_cue_tokens,n_child_utterances,rate_per_1k
54,le,aspect_le,98,800,122.5
54,object_position,word_order,226,800,282.5
54,subject_position,word_order,430,800,537.5
54,zhe,aspect_zhe,4,800,5.0
57,ba,construction_ba,11,501,21.956
57,de_adv,particle_de,3,501,5.988
57,de_comp,particle_de,9,501,17.964
57,de_mod,particle_de,39,501,77.844
57,gei,preposition_gei,8,501,15.968
57,guo,aspect_guo,5,501,9.98
57,le,aspect_le,58,501,115.768
57,object_position,word_order,144,501,287.425
57,subject_position,word_order,295,501,588.822
57,zhe,aspect_zhe,5,501,9.98
63,ba,construction_ba,7,372,18.817
63,de_adv,particle_de,9,372,24.194
63,de_comp,particle_de,3,372,8.065
63,de_mod,particle_de,36,372,96.774
63,gei,preposition_gei,9,372,24.194
63,le,aspect_le,59,372,158.602
63,object_position,word_order,113,372,303.763
63,subject_position,word_order,224,372,602.151
63,zhe,aspect_zhe,5,372,13.441
