cue_subtype,cue_type,first_emergence_month,peak_rate_per_1k,peak_month,uptake_slope,uptake_slope_r,n_bins_present,total_child_cue_tokens,cue_type_cg,caregiver_count,caregiver_AI,caregiver_WAI,Reliability_gra,Reliability_position,Reliability_form,dominant_gra_relation,log_caregiver_count
pron_acc_i,pronoun,18,19.055,24,0.1405,0.3936,15,906,pronoun,429,0.484,0.2753,0.3124,0.9883,0.0023,ROOT,6.063785208687608
pron_acc_it,pronoun,18,31.765,60,0.5696,0.8327,15,1405,pronoun,1868,0.5349,0.378,0.3849,0.9957,0.0054,ROOT,7.533158807455563
pron_acc_itself,pronoun,24,0.762,24,-0.0142,-0.7439,7,18,pronoun,8,0.483,0.0996,0.375,0.0,0.875,OBL,2.1972245773362196
pron_acc_myself,pronoun,24,2.579,42,0.0318,0.4437,13,66,pronoun,12,0.3558,0.0856,0.25,1.0,0.0,ROOT,2.5649493574615367
pron_acc_they,pronoun,21,6.221,42,0.1054,0.688,14,261,pronoun,461,0.4303,0.2477,0.3601,0.9892,0.0152,ROOT,6.135564891081739
pron_acc_we,pronoun,24,1.231,57,0.0113,0.3794,11,33,pronoun,29,0.3018,0.0963,0.3103,0.0,0.0,CASE,3.4011973816621555
pron_acc_you,pronoun,18,10.662,54,0.1741,0.7569,15,543,pronoun,1124,0.5198,0.3426,0.2963,0.9947,0.0062,ROOT,7.025538314638521
pron_acc_yourself,pronoun,36,0.335,36,-0.0057,-0.6248,5,8,pronoun,84,0.4949,0.2062,0.2857,0.0,0.0,OBL,4.442651256490317
pron_anything,pronoun,33,1.569,60,0.0242,0.4942,8,19,pronoun,122,0.3649,0.1647,0.582,0.9426,0.9836,ROOT,4.812184355372417
pron_everybody,pronoun,30,0.615,57,0.0111,0.534,9,17,pronoun,15,0.3765,0.0979,0.4667,0.8,0.0667,ROOT,2.772588722239781
pron_everything,pronoun,24,1.408,54,-0.0029,-0.0636,9,35,pronoun,71,0.4384,0.1759,0.3099,0.0,0.0,CONJ,4.276666119016055
pron_her,pronoun,21,3.018,54,0.0448,0.6583,14,128,pronoun,425,0.2657,0.1509,0.5906,0.0,0.9811,NMOD-POSS,6.054439346269371
pron_his,pronoun,21,9.306,48,0.1821,0.7459,14,343,pronoun,625,0.2911,0.1758,0.536,0.0,0.9616,NMOD-POSS,6.439350371100098
pron_its,pronoun,24,0.455,42,0.003,0.2775,5,9,pronoun,18,0.1209,0.0334,0.7778,0.0,1.0,NMOD-POSS,2.9444389791664403
pron_my,pronoun,18,62.246,24,0.1478,0.1606,15,3820,pronoun,669,0.341,0.2082,0.5979,0.0,0.8741,NMOD-POSS,6.507277712385012
pron_nobody,pronoun,24,0.615,57,0.0013,0.0851,8,17,pronoun,19,0.2255,0.0634,0.8421,0.7368,1.0,ROOT,2.995732273553991
pron_nom_he,pronoun,21,5.081,24,0.0048,0.049,14,156,pronoun,306,0.3046,0.1636,0.2908,0.0,0.0033,AUX,5.726847747587197
pron_nom_i,pronoun,21,15.691,54,0.2786,0.8046,14,557,pronoun,405,0.2941,0.1657,0.2765,0.8617,0.0272,ROOT,6.0063531596017325
pron_nom_it,pronoun,21,12.549,60,0.2846,0.9082,14,392,pronoun,705,0.4373,0.2691,0.2,0.8199,0.0114,ROOT,6.559615237493242
pron_nom_she,pronoun,24,2.871,57,0.0553,0.7499,12,65,pronoun,242,0.286,0.1474,0.1901,0.9091,0.0248,ROOT,5.493061443340548
pron_nom_they,pronoun,21,1.574,51,0.0341,0.8348,12,50,pronoun,191,0.3121,0.154,0.288,0.0,0.0052,ADVMOD,5.2574953720277815
pron_nom_we,pronoun,24,3.822,54,0.0487,0.4717,11,64,pronoun,161,0.304,0.1451,0.3043,0.0,0.0062,ADVMOD,5.087596335232384
pron_nom_you,pronoun,18,10.702,51,0.1825,0.7698,15,495,pronoun,2252,0.4021,0.2912,0.3801,0.0,0.0013,ADVMOD,7.720017940432244
pron_nothing,pronoun,21,3.004,45,0.0621,0.8097,13,122,pronoun,57,0.3096,0.1179,0.8421,0.8246,1.0,ROOT,4.060443010546419
pron_one,pronoun,21,1.846,57,0.0327,0.6851,7,24,pronoun,12,0.17,0.0409,0.3333,0.8333,0.75,ROOT,2.5649493574615367
pron_our,pronoun,21,2.287,24,-0.0021,-0.0413,13,65,pronoun,55,0.2092,0.079,0.4909,0.0,0.8545,NMOD-POSS,4.02535169073515
pron_somebody,pronoun,18,1.214,42,-0.0084,-0.3058,11,53,pronoun,45,0.2825,0.1015,0.3111,0.8222,0.0,ROOT,3.828641396489095
pron_someone,pronoun,36,1.408,54,0.0171,0.3428,7,18,pronoun,5,0.1853,0.0311,0.4,0.8,0.0,ROOT,1.791759469228055
pron_something,pronoun,21,4.426,54,0.0849,0.8439,14,148,pronoun,183,0.388,0.1898,0.3989,0.8361,0.0219,ROOT,5.214935757608986
pron_that,pronoun,18,62.547,18,-0.5029,-0.5103,15,1602,pronoun,1651,0.5497,0.3821,0.3392,0.96,0.0079,ROOT,7.409741954080923
pron_their,pronoun,24,1.524,24,-0.0027,-0.0566,8,34,pronoun,57,0.1957,0.0746,0.5965,0.0,0.9818,NMOD-POSS,4.060443010546419
pron_there,pronoun,18,15.686,60,0.0862,0.3296,15,548,pronoun,657,0.4298,0.2617,0.9224,0.0,0.4718,EXPL,6.489204931325317
pron_this,pronoun,18,26.275,60,0.4917,0.9028,15,692,pronoun,538,0.5434,0.3206,0.4442,0.0,0.0,COP,6.289715570908998
pron_what,pronoun,18,54.74,39,0.6082,0.572,15,2841,pronoun,4513,0.4882,0.3854,0.8737,0.5559,0.9918,ROOT,8.414938957377482
pron_who,pronoun,24,14.979,27,-0.159,-0.4865,13,305,pronoun,272,0.357,0.1879,0.75,0.8456,0.0,ROOT,5.60947179518496
pron_whose,pronoun,42,0.805,54,-0.0049,-0.1231,6,15,pronoun,117,0.3415,0.1528,0.9829,0.0,1.0,NMOD-POSS,4.770684624465665
pron_you,pronoun,18,6.098,24,-0.0654,-0.4862,13,92,pronoun,32,0.1631,0.0535,0.625,0.0,0.0,NMOD-POSS,3.4965075614664802
pron_your,pronoun,18,19.128,48,0.3501,0.847,15,808,pronoun,3288,0.3903,0.2966,0.6378,0.0,0.9309,NMOD-POSS,8.098338846189057
subject_position,word_order,18,666.264,54,13.0211,0.8629,15,38990,word_order,42592,0.4847,0.4847,0.9982,0.4982,0.7435,NSUBJ,10.659445199506749
verb_past,tense,18,101.107,57,1.5075,0.7797,15,6298,tense,5794,0.4252,0.3457,0.6346,0.841,0.8847,ROOT,8.664750755773852
