language,n_cues,interaction_beta,interaction_se,interaction_p,deltaR2_interaction,deltaR2_AI,semipartial_AI,semipartial_logFreq,M0_freq_only_R2,M2_full_R2
English,107,0.4488,0.07033292448228641,0.0,0.201,0.0014,0.0371,0.4194,0.3011,0.5035
English-UK,138,0.3743,0.0765830392803133,0.0,0.111,0.0173,0.1314,0.4524,0.2601,0.3884
Japanese,55,0.3462,0.07061354188138148,1e-05,0.1069,0.0106,0.1027,0.5493,0.6663,0.7838
Korean,23,0.4828,0.13168609219353009,0.00093,0.2745,0.0017,0.041,0.5102,0.3836,0.6598
Mandarin,11,0.5687,0.20587112824521264,0.01254,0.1756,0.0427,0.2067,0.5485,0.671,0.8893
Russian,22,0.6696,0.0926802737193132,0.0,0.2607,0.0235,0.1534,0.4704,0.6375,0.9218
Spanish,67,0.457,0.07839429703810886,0.0,0.1571,0.0005,0.0226,0.6031,0.5621,0.7197
Indonesian,27,0.4622,0.12849725811290413,0.00093,0.1477,0.007,0.0838,0.5544,0.6095,0.7643
