cue_subtype,cue_type,cue_form,count,S_acoustic,S_positional,S_frequency_zscore,S_frequency_normalized,S_repetition,S_perceptual,AttentionIndex,WeightedAttentionIndex,Reliability_gra,Reliability_gra_is_circular,Reliability_position,Reliability_form,Reliability_composite_noncircular,FunctionEntropy_gra,PositionConsistency,dominant_gra_relation,n_distinct_gra_relations,pos_mean,pos_std,n_distinct_functions,most_common_function
part_がっ,particle_other,がっ,27,0.0,-0.063,0.9342,0.7179,0.1502,0.0625,0.1735,0.0666,1.0,False,0.0,1.0,0.5,0.0,0.3909,MARK,1,0.3957,0.176,1,structural
part_ねっ,particle_other,ねっ,26,0.0,-0.0615,0.9166,0.7143,0.1502,0.0625,0.1731,0.0657,1.0,False,0.0,1.0,0.5,0.0,0.4844,MARK,1,0.7397,0.149,1,structural
part_ばっかり,particle_other,ばっかり,18,0.0556,-0.0444,0.7453,0.6782,0.1502,0.0625,0.1804,0.0611,0.6667,False,0.3889,1.0,0.6944,0.7897,0.2787,CASE,3,0.4993,0.2085,1,structural
part_ぐらい,particle_other,ぐらい,8,0.25,0.15,0.3676,0.5909,0.1502,0.0625,0.2407,0.0609,0.875,False,0.125,1.0,0.5625,0.5436,0.0,CASE,2,0.6335,0.3085,1,structural
part_よっ,particle_other,よっ,24,0.0,-0.1,0.8793,0.7067,0.1502,0.0625,0.1639,0.0607,0.9583,False,0.0,0.0,0.0,0.2499,0.3122,MARK,2,0.4581,0.1988,1,structural
particle_no_rel,nominalizer,の,22,0.0,-0.1,0.8388,0.6982,0.1502,0.0625,0.1622,0.0585,1.0,False,0.0,0.0,0.0,0.0,0.4942,ACL,1,0.694,0.1462,1,relative_clause
part_なんか,particle_other,なんか,16,0.0,-0.1,0.6904,0.6661,0.1502,0.0625,0.1558,0.0508,0.75,False,0.25,0.0,0.125,0.5931,0.4264,CASE,4,0.3833,0.1658,1,structural
part_くらい,particle_other,くらい,8,0.125,0.025,0.3676,0.5909,0.1502,0.0625,0.1907,0.0482,0.625,False,0.5,1.0,0.75,0.8194,0.0942,CASE,3,0.466,0.2618,1,structural
part_がる,particle_other,がる,7,0.1429,0.0429,0.3054,0.5758,0.1502,0.0625,0.1948,0.0466,1.0,False,0.0,1.0,0.5,0.0,0.0439,MARK,1,0.516,0.2763,1,structural
part_っと,particle_other,っと,13,0.0,-0.1,0.5937,0.6442,0.1502,0.0625,0.1514,0.046,0.3846,False,0.6154,1.0,0.8077,0.8802,0.5526,CASE,4,0.3333,0.1293,1,structural
part_言う,particle_other,言う,13,0.0,-0.1,0.5937,0.6442,0.1502,0.0625,0.1514,0.046,1.0,False,0.0,0.0,0.0,0.0,0.5249,CASE,1,0.7173,0.1373,1,structural
part_ゃー,particle_other,ゃー,10,0.0,-0.1,0.4715,0.6157,0.1502,0.0625,0.1457,0.0402,1.0,False,0.0,1.0,0.5,0.0,1.0,MARK,1,0.75,0.0,1,structural
part_やっ,particle_other,やっ,9,0.0,-0.1,0.4225,0.6041,0.1502,0.0625,0.1434,0.038,1.0,False,0.0,0.0,0.0,0.0,0.3276,CASE,1,0.6582,0.1943,1,structural
part_お,particle_other,お,7,0.0,-0.1,0.3054,0.5758,0.1502,0.0625,0.1377,0.033,0.7143,False,0.0,0.0,0.0,0.8631,0.4819,MARK,2,0.4563,0.1497,1,structural
part_やら,particle_other,やら,6,0.0,-0.1,0.2336,0.5581,0.1502,0.0625,0.1342,0.0301,0.8333,False,0.5,0.0,0.25,0.65,0.5945,CASE,2,0.2602,0.1172,1,structural
part_でー,particle_other,でー,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,0.6,False,1.0,1.0,1.0,0.865,0.5794,ROOT,3,0.6533,0.1216,1,structural
part_かん,particle_other,かん,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,1.0,False,0.0,0.0,0.0,0.0,0.3241,MARK,1,0.6095,0.1953,1,structural
part_かな,particle_other,かな,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,1.0,False,0.0,1.0,0.5,0.0,0.6779,MARK,1,0.3633,0.0931,1,structural
part_ず,particle_other,ず,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,1.0,False,0.2,0.0,0.1,0.0,0.2819,CASE,1,0.6683,0.2075,1,structural
part_がり,particle_other,がり,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,1.0,False,0.0,1.0,0.5,0.0,0.7421,MARK,1,0.4667,0.0745,1,structural
part_ねー,particle_other,ねー,5,0.0,-0.1,0.1487,0.5371,0.1502,0.0625,0.13,0.0268,0.2,False,0.0,1.0,0.5,1.0,0.1598,MARK,5,0.506,0.2428,1,structural
