child,n_episodes,n_cues,outcome_mean,beta_COI4_x_cum,se_COI4_x_cum,p_COI4_x_cum,r2,language,window,subcorpus
Adam,6707,90,0.6851051140599373,0.05772137774858714,0.020110964811775003,0.00410284082840301,0.3254886900378051,English,10,Brown
Eve,1570,64,0.678343949044586,0.024136896566010296,0.019640858718593442,0.21910461856879337,0.3658013078103777,English,10,Brown
Sarah,6682,89,0.6412750673451063,0.04848730501931777,0.03708941811835497,0.19110801849522396,0.3198711594550362,English,10,Brown
Anne,6175,83,0.5509311740890688,0.048725863611507964,0.030585551510154952,0.11113760168122142,0.28290491784495087,English-Manchester,10,Manchester
Aran,5762,88,0.6291218326969802,0.04549984487592579,0.04382995395399778,0.2992238235230046,0.32617545979779583,English-Manchester,10,Manchester
Becky,2415,70,0.5300207039337475,0.023327443302138262,0.05115065263177838,0.6483513784873315,0.3018313721011485,English-Manchester,10,Manchester
Carl,5983,83,0.625940163797426,-0.02360746725030453,0.051909324874191705,0.6492655174815626,0.3032848783892673,English-Manchester,10,Manchester
Dominic,1575,56,0.6152380952380953,0.05631798712749861,0.01959743194797998,0.004056386165055225,0.2034094619813368,English-Manchester,10,Manchester
Gail,1526,67,0.5334207077326344,0.02210841450821624,0.019537166885176,0.25779927172327954,0.2706925161574427,English-Manchester,10,Manchester
Joel,3532,78,0.5931483578708947,0.05063769358496244,0.030849203844018652,0.10070223649478265,0.3382391939993421,English-Manchester,10,Manchester
John,14831,101,0.5314543860832041,-0.008322044657248385,0.04790438927036076,0.862083974080523,0.2914157606356633,English-Manchester,10,Manchester
Liz,8212,90,0.49184120798830977,0.012212148558179061,0.0778643935208725,0.8753719892626213,0.2676000084635879,English-Manchester,10,Manchester
Ruth,9241,92,0.507196190888432,0.007941297834597266,0.06039394218668946,0.8953864082394452,0.27834036242350046,English-Manchester,10,Manchester
Warren,18281,100,0.5724522728515945,-0.020677775217289265,0.03632816685394097,0.5692244805702503,0.3305486837795981,English-Manchester,10,Manchester
Abigail,4296,94,0.5491154562383612,0.04741957651839719,0.04823130139788099,0.3255236963096845,0.31723446752138507,English-UK,10,UK_short_obs
Eleanor,43709,121,0.5638426868608296,0.03332511651741908,0.024843253742220423,0.1797857070448462,0.3145997994689288,English-UK,10,UK_long_long
Frances,1451,74,0.6092350103376981,-0.037992171461118274,0.06252400052850271,0.543425333882992,0.34426196091115124,English-UK,10,UK_short_obs
Fraser,13062,100,0.5679834634818558,-0.010904144498446238,0.017344850013844473,0.5295667215483794,0.2666989623122795,English-UK,10,UK_long_long
Geoffrey,1853,74,0.5607123583378305,0.14126921186869446,0.03370629633738973,2.7750532172111646e-05,0.3562988983900319,English-UK,10,UK_short_obs
Helen,515,54,0.625242718446602,0.10037769760611313,0.045303339111854,0.026713432836811997,0.34206065805958785,English-UK,10,UK_long_long
Jack,401,47,0.46384039900249374,0.010255274449035678,0.037812064692260845,0.7862241448389424,0.39138864532421547,English-UK,10,UK_short_obs
Jason,320,45,0.459375,0.04084462691026591,0.03726137659245036,0.27300645547482594,0.2973625287605468,English-UK,10,UK_short_obs
Jonathan,240,39,0.6583333333333333,0.12532472801254743,0.06398331035251523,0.05014679860353849,0.35649025679979285,English-UK,10,UK_short_obs
Laura,588,53,0.5714285714285714,0.10686955388331593,0.05115573829075219,0.03669854464151007,0.368027635517429,English-UK,10,UK_short_obs
Neville,1330,63,0.3398496240601504,-0.01344643140171195,0.060408217959399955,0.8238524789992183,0.1412912102951568,English-UK,10,UK_short_obs
Nicole,1564,71,0.49168797953964194,0.06878686793689731,0.021414497336365954,0.0013173935145623053,0.2718179819482357,English-UK,10,UK_long_long
Penny,357,40,0.6722689075630253,0.024718654147121044,0.07132775664206215,0.7289292031783907,0.27577395845447505,English-UK,10,UK_short_obs
Samantha,1386,65,0.5202020202020202,0.029686698706495665,0.061819020275442275,0.6310713259336445,0.3176259963768058,English-UK,10,UK_short_obs
Sean,4918,94,0.5394469296461977,0.024144345196781457,0.05600629072376566,0.6663952287802296,0.35023511930354034,English-UK,10,UK_short_obs
Stella,1484,64,0.4925876010781671,0.08276340443945557,0.036480481058779116,0.023286346980292583,0.3311255621603748,English-UK,10,UK_short_obs
Thomas,166827,136,0.4983605771248059,0.016804847637330242,0.03957134862094531,0.6710757266595345,0.32197682546172324,English-UK,10,UK_long_long
April,667,59,0.6071964017991005,0.037028720287287986,0.017610247457439266,0.03549372584783527,0.337447459876289,English-NA-Pool,10,NA_other
