cue_subtype,uk_share,manc_share
subject_position,0.22095912290734132,0.22536052666164857
object_position,0.12991737818705262,0.14358937596329618
det_the,0.06139697907834283,0.0648051901501846
det_a,0.06305828880168793,0.06470960727385688
verb_past,0.0573915958432749,0.053872898670203236
aux_be,0.05105199850137046,0.04064661815835693
prep_on,0.026023899197444442,0.0358794222015126
prep_in,0.02561966359710528,0.03363322460781151
aux_do,0.03795624396111451,0.029857700992867126
det_that,0.014796501883146334,0.019140470984623105
pron_there,0.013191883737897581,0.017706727839707517
aux_can,0.01858251335949362,0.016667264059643715
pron_my,0.01494932265888431,0.015974288206267846
det_this,0.011735156665943644,0.013238228371387266
pron_that,0.01094886912625954,0.012198764591323465
pron_what,0.01327815353065289,0.01199565097912709
det_some,0.008390353558259223,0.0105619078342115
pron_your,0.013758799518861041,0.010263211345687421
pron_acc_it,0.011121408711770158,0.00955828763277059
prep_up,0.008109360518999072,0.008853363919853759
prep_out,0.006287835466251257,0.008650250307657384
prep_down,0.0056962711730719935,0.008028961611527295
det_another,0.004424407942736576,0.00741962077493817
det_all,0.008185770906868062,0.00704923712916831
prep_for,0.00733539723542287,0.006786384219267119
prep_to,0.009307278212687082,0.0067266449215623025
prep_with,0.007621319977126181,0.006427948433038221
prep_of,0.008493877309565594,0.006069512646809324
aux_have,0.008797054009819968,0.0051136838835322655
