child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Adam,6707,90,0.6851051140599373,0.06564324886213183,0.031648706294627967,0.03806806734174407,0.056045697650106474,0.02932034576846225,-0.005948492845318662,0.028787674212018534,0.32469972695580274,Brown,English
Eve,1570,64,0.678343949044586,0.027682976716625732,0.03249632731959337,0.3942806061445272,0.03589290467001307,0.02577916008060502,0.08776378833030066,0.050119899436726886,0.3655793506850381,Brown,English
Sarah,6682,89,0.6412750673451063,0.04212805492971463,0.05206102833681013,0.41839712345872737,0.016070389973790435,0.042635360505248576,0.021044768111850732,0.03388941023079059,0.3191388049648528,Brown,English
Anne,6175,83,0.5509311740890688,0.03791986716361323,0.0406940135328096,0.35142483852215267,0.00941055320485534,0.03151789532404583,0.05843348156727257,0.03984235686117753,0.28243694058359914,Manchester,English-Manchester
Aran,5762,88,0.6291218326969802,0.033591962399680805,0.046765770587493656,0.4725708882687313,0.02151822223001526,0.036497855354417325,0.019196595667116866,0.03331996455181253,0.3255083127604569,Manchester,English-Manchester
Becky,2415,70,0.5300207039337475,0.0004857894369189042,0.05798493857326575,0.9933155166344364,5.541083089469212e-05,0.04064369727801036,0.07382990033544037,0.031652477710118046,0.30169358710697003,Manchester,English-Manchester
Carl,5983,83,0.625940163797426,-0.04107345755082263,0.04665700510723729,0.37868176962897204,-0.042373035839663,0.03636555757549605,0.07037814742681596,0.038693094585637286,0.30425272432075356,Manchester,English-Manchester
Dominic,1575,56,0.6152380952380953,0.050041021216700315,0.029931200429353568,0.09455032107304373,0.026082317418376008,0.03900332878652351,0.05457874808689493,0.02630859524373473,0.2026254376295309,Manchester,English-Manchester
Gail,1526,67,0.5334207077326344,0.02327825986252552,0.022792761118587836,0.3071120577011107,0.013828339544224383,0.01542757756299017,0.049153051320804914,0.03767050588919725,0.27066435576892056,Manchester,English-Manchester
Joel,3532,78,0.5931483578708947,0.04370910591311919,0.035917209233258085,0.22362686180131897,0.008708914083895056,0.029778603098061268,0.0190113343492785,0.022585917780465294,0.33798076821332157,Manchester,English-Manchester
John,14831,101,0.5314543860832041,-0.02616077638492452,0.0441933117420765,0.5538758047781454,-0.048847788838971326,0.03436568677405601,0.0917409393560061,0.03547392338165117,0.291884338061176,Manchester,English-Manchester
Liz,8212,90,0.49184120798830977,-0.026823153740932727,0.07619854995656782,0.7248258205546697,-0.02447539319860368,0.05469662099852987,0.13761611662637593,0.04463518704865517,0.2678144989174396,Manchester,English-Manchester
Ruth,9241,92,0.507196190888432,-0.019369176272848083,0.05532965653750725,0.7262872034872002,-0.004057307528001802,0.039204390397741214,0.0992400005197292,0.029991410489916392,0.27846518348670624,Manchester,English-Manchester
Warren,18281,100,0.5724522728515945,-0.03424490703746274,0.033780499401888785,0.3107031079116128,-0.049915357232496016,0.031203935458435302,0.06825852809262688,0.03297731527149578,0.3312808465228939,Manchester,English-Manchester
Abigail,4296,94,0.5491154562383612,0.033648749909709424,0.055961833425663826,0.5476532856222213,0.014285653524543196,0.03867206171050665,0.01651728115001653,0.04367389302638908,0.3164040680047311,English-UK,English-UK
Anne,2042,71,0.5582761998041136,0.05033931410022249,0.025372508111969883,0.04725470634401045,0.01471925003793248,0.020914029894830242,0.0679984383191311,0.032779072429531715,0.22783773050177059,English-UK,English-UK
Aran,792,54,0.6452020202020202,0.06776493817271155,0.045005762335362125,0.13214556313679113,0.04751161212986835,0.04127366749349415,0.02971445989955058,0.05124859945131742,0.3169923095562227,English-UK,English-UK
Becky,627,55,0.594896331738437,-0.03247422124232882,0.056416323922106215,0.5648737748604775,0.0020889995687021767,0.04060344272521267,0.0756297036026522,0.0227679585633583,0.2762015160535315,English-UK,English-UK
Carl,2512,74,0.6512738853503185,-0.00481937690568723,0.040678415569900456,0.9056912711058265,-0.030252263186759103,0.03332995273695342,0.029907032682051124,0.029387936465201964,0.3261222704326242,English-UK,English-UK
Dominic,1536,59,0.6178385416666666,0.03674600140360651,0.01775699489115299,0.038510276430140995,0.02224288323894505,0.03022682815055455,0.06767212816669,0.022932159994457996,0.20980129383978396,English-UK,English-UK
Eleanor,43709,121,0.5638426868608296,0.029925599437529378,0.026496775635414693,0.25872688849919323,0.0050102733058218565,0.01590296956335873,0.0378169207352889,0.01714737788263207,0.3146066240360831,English-UK,English-UK
Frances,1451,74,0.6092350103376981,-0.06210042204579193,0.06512956393736076,0.34034159512382056,-0.050827933060272806,0.04570833157011513,0.044511879340500715,0.030802369247091947,0.34549823182575046,English-UK,English-UK
Fraser,13062,100,0.5679834634818558,-0.014940581319016839,0.01608310111665591,0.35290905252783966,-0.01931532588142631,0.009382289646488446,0.0814909395500388,0.011978203141828821,0.2668048491985623,English-UK,English-UK
Geoffrey,1853,74,0.5607123583378305,0.15055768686912308,0.04279238501115633,0.0004342736845862764,0.09896680416765698,0.02987631143037102,-0.02390172347899107,0.031139289586030898,0.35621278407295354,English-UK,English-UK
Helen,515,54,0.625242718446602,0.10196569560383235,0.05237802990763991,0.051567540226482356,0.046703742857373706,0.04351341781432467,-0.02987715297682208,0.027215068407226033,0.34162576180021054,English-UK,English-UK
Jack,401,47,0.46384039900249374,0.02246029233364827,0.042902412765904334,0.6006120930152257,-0.022688566151655126,0.03195844013354218,-0.009719614295018997,0.04607837887716747,0.39201122759308527,English-UK,English-UK
Jason,320,45,0.459375,0.0355624819312953,0.04350410491550484,0.4136706373817558,-0.05122500531215207,0.028114911712639808,0.12833092905880664,0.05322445004682049,0.296621073074802,English-UK,English-UK
Joel,277,36,0.6137184115523465,-0.019609105785455307,0.03047013833632183,0.5198662546534898,-0.011636764529726555,0.01811136331566205,0.0959902229473725,0.027842447154666508,0.3895289130030174,English-UK,English-UK
John,3875,82,0.5803870967741935,-0.033208271938064256,0.054603955042406456,0.5430773455344081,-0.048771063233507286,0.044038865323587174,0.06652656736333348,0.04020963201441927,0.3220915996267435,English-UK,English-UK
Jonathan,240,39,0.6583333333333333,0.1476740235685039,0.06878085110254598,0.031791503497701046,0.12520867622144297,0.03615524944262083,-0.07128252363684401,0.036043066762579935,0.35765368725222146,English-UK,English-UK
Laura,588,53,0.5714285714285714,0.13127955204957925,0.05036342040186635,0.009143413298094514,0.08012789807407983,0.023796282054392243,-0.0536303605332607,0.04381358669195014,0.3700660664666814,English-UK,English-UK
Liz,4183,78,0.48171169017451587,0.05080740715416811,0.06101150156769386,0.4049850065670638,0.02201981138462123,0.04525527708994878,0.09718269130318578,0.03387210215217689,0.27417155566361673,English-UK,English-UK
Neville,1330,63,0.3398496240601504,-0.034133251104506115,0.058603587454080994,0.5602683039756924,0.016174101174517556,0.04333539246502921,0.06862437029454432,0.027800614992753034,0.1419637209906327,English-UK,English-UK
Nicole,1564,71,0.49168797953964194,0.08499528576272589,0.021122235512723284,5.722470670853366e-05,0.02796304743911534,0.012109679565134292,-0.0052760468165473536,0.023615744520618626,0.2734691366434723,English-UK,English-UK
Penny,357,40,0.6722689075630253,-0.0009329106478605798,0.08143177370225725,0.9908593576375302,0.008143026219544741,0.07223566139105864,0.05518320737050847,0.06415949561084155,0.2751584396189445,English-UK,English-UK
Ruth,648,50,0.5617283950617284,0.015321044381728988,0.03232024318313727,0.6354723474676991,0.045494049084633253,0.02534763615447068,0.007982094118548028,0.02557713074812834,0.28112679885279623,English-UK,English-UK
Samantha,1386,65,0.5202020202020202,0.00969660291647724,0.0651326541128407,0.8816525224492167,-0.03126406180382779,0.051891491288118166,0.12336865799994445,0.060884991402630435,0.31706102935685,English-UK,English-UK
Sean,4918,94,0.5394469296461977,0.01570878593721871,0.05860137353273726,0.7886517982884086,0.0008345461233004448,0.04627187038239929,0.07301231101014447,0.045228632380163954,0.3500027330946688,English-UK,English-UK
