child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Adam,6707,90,0.49470702251379156,0.00262064878115679,0.0206708598265587,0.8991146339505159,0.0033368761593443753,0.011897855336758554,0.06909570199816877,0.01793161553014173,0.274870319370483,Brown,English
Eve,1570,64,0.478343949044586,-0.07855091275992011,0.023994560931887003,0.0010615051571592705,-0.039808929098032735,0.016031995793213037,0.1310665939181163,0.03448067035926778,0.21211130279189128,Brown,English
Sarah,6682,89,0.4458246034121521,0.04896718857917917,0.014132083569146784,0.0005302985874581871,0.01645487408141651,0.008734263571367674,0.04011917195187272,0.010827329962786651,0.2651614394416373,Brown,English
Anne,6175,83,0.31497975708502024,0.011913394796943883,0.020825407767260416,0.5672809355567083,-0.0009887927406339965,0.014864889719680944,0.06280056253228952,0.017277480769574777,0.14271451021598025,Manchester,English-Manchester
Aran,5762,88,0.415827837556404,0.03157233160397184,0.020621566560814108,0.125760845267091,0.024816781236091948,0.014275752709457256,0.053212350575561354,0.01736221409511227,0.231585422273187,Manchester,English-Manchester
Becky,2415,70,0.337888198757764,-0.013151452846921152,0.04168657244860019,0.7523940840687273,-0.0017000016432106163,0.0304832409901838,0.07417214063847667,0.01851103326875146,0.18669257456637078,Manchester,English-Manchester
Carl,5983,83,0.4272104295503928,-0.010049815993624239,0.02335240349747739,0.6669376613742721,-0.01738154445764945,0.01462484654634462,0.07291552951574863,0.028858990113387828,0.19845305825472093,Manchester,English-Manchester
Dominic,1575,56,0.3815873015873016,0.03382659729612206,0.03005889708777235,0.26044332218362287,0.010602870841920867,0.025962577192503406,0.026802850676993298,0.027290523567713436,0.08597734987257144,Manchester,English-Manchester
Gail,1526,67,0.3315858453473132,0.008229404443454297,0.028892616699382187,0.7757764971663809,0.010584312548789596,0.020829949405189587,0.08124307099318165,0.03197267580204277,0.13946352010163887,Manchester,English-Manchester
Joel,3532,78,0.3983578708946772,-0.015463065728980152,0.019807946582012237,0.4350086064146008,-0.02457843290338768,0.016726139958145113,0.05900297991233887,0.018344729547618125,0.21940805689422072,Manchester,English-Manchester
John,14831,101,0.32789427550401185,-0.015894863340684618,0.01776825262092967,0.37101947490330367,-0.02522682071804227,0.012880173710270447,0.08219855648330718,0.01773216594527403,0.1923583534156359,Manchester,English-Manchester
Liz,8212,90,0.31721870433511934,-0.002278710725475388,0.03974035729211067,0.9542743846531815,-0.006621731223904725,0.028265580432197877,0.11989267777027562,0.01955089460822038,0.1884572284706002,Manchester,English-Manchester
Ruth,9241,92,0.32734552537604156,-0.011081663516431138,0.026018398285856458,0.6701687366290312,-0.0059085841033942555,0.018595090183004384,0.08041968046157948,0.019240528223710626,0.21490732921148625,Manchester,English-Manchester
Warren,18281,100,0.3662819320606094,-0.023829413191081936,0.015308413234955064,0.11956025171001577,-0.028009400352663708,0.015013090879519604,0.07677485775890837,0.015960919796973977,0.23098532769874158,Manchester,English-Manchester
