child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language
Adam,6707,90,0.7756075741762338,0.02260437999462131,0.05112901556249846,0.6584134164856639,0.015087817575522272,0.04678633736219332,0.001519836826087164,0.04241609478038424,0.31256991201443296,Brown,English
Eve,1570,64,0.7560509554140128,0.02621706987529037,0.04792126665758954,0.5843194237432978,0.009412874324942509,0.047882376432640456,0.04680761040145231,0.058996894938459346,0.3319156431317458,Brown,English
Sarah,6682,89,0.7364561508530381,-0.0034792093685929865,0.06925000694481986,0.9599301120206853,-0.006415754236655961,0.057556864664670485,0.013043390726398093,0.03898573630431635,0.3034589540202458,Brown,English
Anne,6175,83,0.6686639676113361,0.010966656350962674,0.06567317097902355,0.8673791929261053,-0.0154184019334773,0.05131274590369748,0.035234905895188004,0.054286160804028545,0.30534818890648174,Manchester,English-Manchester
Aran,5762,88,0.7290871225269003,-0.02283712446616211,0.05858317467623665,0.6966667336460269,-0.03402745526022008,0.04596027120910384,0.021211328906585968,0.034154348971846465,0.3235193181116087,Manchester,English-Manchester
Becky,2415,70,0.6351966873706004,-0.04196218262949561,0.11043091103714685,0.7039559253363703,-0.019375297090831634,0.07606331990678138,0.06695809609965714,0.05273954625127207,0.27414471079433667,Manchester,English-Manchester
Carl,5983,83,0.7195386929633963,-0.07145475611760388,0.048030189836729596,0.13682869443072895,-0.06756197704293983,0.03781788199819513,0.05107359881375742,0.03032165931237085,0.3030169098203984,Manchester,English-Manchester
Dominic,1575,56,0.726984126984127,-0.006025726381348129,0.03556643824913848,0.8654649571939278,-0.023213527218402558,0.03787609417116783,0.06816815405300534,0.03668774299334956,0.26379405161961267,Manchester,English-Manchester
Gail,1526,67,0.6605504587155964,-0.017143182057768352,0.04080052689995887,0.674360827138192,-0.010081058690103839,0.03675558412316704,0.0701618919063722,0.04251971830725091,0.31020935080944645,Manchester,English-Manchester
Joel,3532,78,0.6916761041902605,0.002189316339344771,0.07160400281432443,0.9756082131487307,-0.025951395093522983,0.05829773865664489,0.016071057462429067,0.036450261219115716,0.33177916999473445,Manchester,English-Manchester
John,14831,101,0.638729687816061,-0.068758112882727,0.05686428675945187,0.22660076096834114,-0.07638799838461567,0.044639631058229455,0.08218019933438223,0.04052384586959169,0.3103685787589897,Manchester,English-Manchester
Liz,8212,90,0.5959571358986848,-0.07063834775451336,0.09928715993666958,0.4768023183353519,-0.05543946953133347,0.07181092717331572,0.13888331057656952,0.06116399430223784,0.2740219046852147,Manchester,English-Manchester
Ruth,9241,92,0.6226598852937993,-0.07478673170172126,0.07350157742392688,0.30892289900186276,-0.03185820591895079,0.05028229831027631,0.10673168481527157,0.036272183386141264,0.26972934010145777,Manchester,English-Manchester
Warren,18281,100,0.6746895684043542,-0.0758599310118244,0.04285257155646249,0.07668485748891496,-0.07934604964092518,0.037559072878782976,0.06952926016031961,0.03022423148067574,0.34507372243365664,Manchester,English-Manchester
Abigail,4296,94,0.662243947858473,-0.04073216102654645,0.06151972640265506,0.5079076548436899,-0.03172507109918818,0.042085331234948856,0.04702629482648688,0.044996778912337325,0.30815916903684737,English-UK,English-UK
Anne,2042,71,0.6723800195886386,0.04450937398601812,0.040258578218829534,0.2689051764289412,0.006726154329521755,0.035686307548949824,0.03657390593415444,0.04535693683846346,0.28397311368064293,English-UK,English-UK
Aran,792,54,0.76010101010101,0.02698593278995301,0.055729641496664546,0.6282230495038128,0.008277579932465848,0.05071628977206365,-0.00399394058247271,0.04978541545297391,0.30471269686776614,English-UK,English-UK
Becky,627,55,0.7049441786283892,0.038309861040374094,0.07883506398209626,0.6270029612182457,0.0348133787505093,0.058318786206608644,0.0013445613590264416,0.026756915783541838,0.27651337868523473,English-UK,English-UK
Carl,2512,74,0.7368630573248408,-0.030860233682781735,0.04133533700573619,0.45531569633042,-0.044195061431828636,0.0330150913403426,0.020617275424468326,0.022180670816093335,0.2900337003782987,English-UK,English-UK
