corpus,language,age_subset,n_episodes_in_subset,n_cues_in_regression,spec,predictor,beta,se,stat,p,p_naive,se_naive
Brown,English,all,7487,76,A_cue,const,-0.3117559724419487,0.09068321327004134,-3.4378575835594294,0.0010049695751066991,,
Brown,English,all,7487,76,A_cue,logFreq_z,0.5640175251883968,0.11167366776662262,5.0505865569588835,3.5262749116358564e-06,,
Brown,English,all,7487,76,A_cue,COI_z,0.023706550711003305,0.11208385971624116,0.21150726581882853,0.8331240920718683,,
Brown,English,all,7487,76,A_cue,COI_x_logFreq,0.4695221500387036,0.07371592763726892,6.369344659800836,1.9026382995465694e-08,,
Brown,English,all,7487,76,A_cue,R_between_z,-0.06299519488967167,0.1006352954850064,-0.6259751569871159,0.5334267966513437,,
Brown,English,all,7487,76,A_cue,R_within_proxy_z,-0.06065918939282527,0.0972896241227125,-0.6234908392318913,0.5350478576633172,,
Brown,English,all,7487,76,A_cue,COI_x_R_between,-0.12977816816112367,0.12779752408467143,-1.015498297722419,0.3134680155481137,,
Brown,English,all,7487,76,A_cue,COI_x_R_within,-0.16424751804135213,0.10940766066158128,-1.5012433046110085,0.13792207419187186,,
Brown,English,all,7487,76,B_episode,const,-0.22813901912077572,0.10332611806010178,-2.2079511299173546,0.027247680041453025,0.0,0.0037626849484620017
Brown,English,all,7487,76,B_episode,logFreq_z,1.0076839317966093,0.17389367638057449,5.794827924571827,6.839126711689049e-09,0.0,0.004748051997777027
Brown,English,all,7487,76,B_episode,COI_z,0.08193900069072499,0.1491298934829883,0.5494471884677636,0.5826985978412615,2.20760279132502e-56,0.005158750036210868
Brown,English,all,7487,76,B_episode,COI_x_logFreq,0.3123211816357874,0.0688658575841037,4.535210808263869,5.754597837432683e-06,0.0,0.0029991160470975928
Brown,English,all,7487,76,B_episode,R_between_z,-0.21099917460838985,0.09304308412944996,-2.2677577445178914,0.023343976176550874,0.0,0.003286961010255002
Brown,English,all,7487,76,B_episode,R_within_z,9.73613550891983e-17,2.136440327769066e-16,0.4557176431455303,0.6485930331842064,0.999999999999974,0.0029862982639981884
Brown,English,all,7487,76,B_episode,COI_x_R_between,-0.1450659116309427,0.058257055331842694,-2.4901003115351625,0.01277070455625812,0.0,0.0025542637723804597
Brown,English,all,7487,76,B_episode,COI_x_R_within,1.1058862159352145e-17,6.1980132220389e-17,0.1784259207455227,0.8583884940982826,0.999999999999997,0.0029252010651620625
Brown,English,pre-24,704,22,A_cue,const,-0.30102673487877774,0.11815905733240382,-2.5476399496987563,0.023223434019702324,,
Brown,English,pre-24,704,22,A_cue,logFreq_z,0.4897314730704435,0.18096455571550274,2.706228692873748,0.017047403087124626,,
Brown,English,pre-24,704,22,A_cue,COI_z,0.08195288751798391,0.1598924400555429,0.512550108619991,0.6162568720053531,,
Brown,English,pre-24,704,22,A_cue,COI_x_logFreq,0.5462196306866497,0.11800712800573882,4.628700315968087,0.00039056076235922206,,
Brown,English,pre-24,704,22,A_cue,R_between_z,-0.12444898135841999,0.14347250531113476,-0.8674064838314469,0.4003430308419854,,
Brown,English,pre-24,704,22,A_cue,R_within_proxy_z,0.03190759315946501,0.13851145347383276,0.2303606839667805,0.8211435938635739,,
Brown,English,pre-24,704,22,A_cue,COI_x_R_between,-0.2587631682462861,0.1752289806113488,-1.4767144529603407,0.16189032496750255,,
Brown,English,pre-24,704,22,A_cue,COI_x_R_within,-0.1467812767983459,0.21076443091462171,-0.6964233773288119,0.49756425189711184,,
Brown,English,pre-24,704,22,B_episode,const,-0.31742532855256345,0.10666042881202924,-2.9760364934587997,0.0029200011234838947,3.179414530060501e-105,0.013078251464810776
Brown,English,pre-24,704,22,B_episode,logFreq_z,1.094360290495832,0.16521952694810987,6.623674033636081,3.5037896411914e-11,0.0,0.01700321415579967
Brown,English,pre-24,704,22,B_episode,COI_z,0.24101978594526524,0.12455060000538525,1.9351154144166642,0.05297613437066423,1.9012124561772993e-35,0.01873940853857978
Brown,English,pre-24,704,22,B_episode,COI_x_logFreq,0.5154172019670983,0.09884603220095525,5.214343868848964,1.8446899666397242e-07,1.849431068235515e-224,0.012657236912998077
Brown,English,pre-24,704,22,B_episode,R_between_z,-0.5358983189427742,0.12117780289324558,-4.4224132320247325,9.760455124338661e-06,1.5222101530003107e-161,0.01669493190803868
Brown,English,pre-24,704,22,B_episode,R_within_z,-3.9898639947466563e-17,5.172397430376491e-17,-0.7713761458690231,0.44048400999334214,0.9999999999999962,0.008423022692856889
Brown,English,pre-24,704,22,B_episode,COI_x_R_between,-0.3902720542177685,0.08799990913942095,-4.434914286098279,9.210892891026964e-06,1.0682559658301463e-163,0.012047896012774251
Brown,English,pre-24,704,22,B_episode,COI_x_R_within,6.938893903907228e-18,2.6046212517940247e-17,0.2664070217167974,0.7899257580287193,0.9999999999999993,0.008475226675652621
Brown,English,post-24,6776,76,A_cue,const,-0.31094060654874583,0.09062095846080344,-3.4312217816945507,0.001026125908115361,,
Brown,English,post-24,6776,76,A_cue,logFreq_z,0.5669224777004938,0.1113036635842008,5.093475447657831,2.994649170679023e-06,,
