language,child,subcorpus,window,n_episodes,truncation,mode,n_cues,outcome_mean,outcome_var,beta,se,p
English,Adam,Brown,3,6707,0.00462203667809751,LPM,90,0.49470702251379156,0.25000926025935577,0.00262064878115679,0.0206708598265587,0.8991146339505159
English,Adam,Brown,3,6707,0.00462203667809751,Logit,90,0.49470702251379156,0.25000926025935577,-0.24263108494961766,0.08491134239921982,0.004270413762396529
English,Adam,Brown,3,6707,0.00462203667809751,Continuous,90,0.2659659062670841,0.10102562146394767,-0.0349522542213032,0.02370865727016874,0.1404169457519642
English,Adam,Brown,5,6707,0.007156701953183241,LPM,90,0.5822275234829283,0.2432749061734514,0.04000067986958835,0.017197521794884006,0.020020895403512387
English,Adam,Brown,5,6707,0.007156701953183241,Logit,90,0.5822275234829283,0.2432749061734514,-0.19230253413787035,0.09475609404129322,0.04241271404228867
English,Adam,Brown,5,6707,0.007156701953183241,Continuous,90,0.25522339843944136,0.07991397525386958,-0.037952073408138866,0.025214916284170167,0.1322871256009442
English,Adam,Brown,7,6707,0.008647681526763084,LPM,90,0.6353063963023706,0.23172672910164013,0.06821241026463722,0.022024272978482373,0.0019539297598664845
English,Adam,Brown,7,6707,0.008647681526763084,Logit,90,0.6353063963023706,0.23172672910164013,0.011566310566483353,0.10358724122411889,0.9110948394589863
English,Adam,Brown,7,6707,0.008647681526763084,Continuous,90,0.24874189723600784,0.07041368624029608,-0.04226106400761847,0.027309427046269815,0.12174514502929366
English,Adam,Brown,10,6707,0.011182346801848814,LPM,90,0.6851051140599373,0.21576826735678312,0.06564324886213183,0.031648706294627967,0.03806806734174407
English,Adam,Brown,10,6707,0.011182346801848814,Logit,90,0.6851051140599373,0.21576826735678312,0.08479435319419341,0.11577790502540587,0.46393175525749775
English,Adam,Brown,10,6707,0.011182346801848814,Continuous,90,0.24250380436454685,0.06292580752146885,-0.04301985081403243,0.026933506472013587,0.11020744658698613
English,Adam,Brown,15,6707,0.01669897122409423,LPM,90,0.7417623378559713,0.19157953611192102,0.035556289559791676,0.0467419790785877,0.44684054285747454
English,Adam,Brown,15,6707,0.01669897122409423,Logit,90,0.7417623378559713,0.19157953611192102,-0.028228693513538256,0.1444094198318028,0.8450196861405804
English,Adam,Brown,15,6707,0.01669897122409423,Continuous,90,0.23539977326319955,0.05641090403967903,-0.04786664388001087,0.027828524097666816,0.08542210575367268
English,Adam,Brown,20,6707,0.02340837930520352,LPM,90,0.7756075741762338,0.17406641800406078,0.02260437999462131,0.05112901556249846,0.6584134164856639
English,Adam,Brown,20,6707,0.02340837930520352,Logit,90,0.7756075741762338,0.17406641800406078,-0.03908740994245461,0.18405273142138998,0.8318178316958879
English,Adam,Brown,20,6707,0.02340837930520352,Continuous,90,0.23250023215357943,0.05365147896381319,-0.046462567321011256,0.028154128084560064,0.09888297377077296
English,Eve,Brown,3,1570,0.006369426751592357,LPM,64,0.478343949044586,0.2496900537077858,-0.07855091275992011,0.023994560931887003,0.0010615051571592705
English,Eve,Brown,3,1570,0.006369426751592357,Logit,64,0.478343949044586,0.2496900537077858,-0.44384599894808663,0.16435032076625758,0.006921259826231901
English,Eve,Brown,3,1570,0.006369426751592357,Continuous,64,0.24957537154989384,0.0943008605785213,-0.03966839712951692,0.013789656188337593,0.004018857799052201
English,Eve,Brown,5,1570,0.007643312101910828,LPM,64,0.5929936305732484,0.24150601015698264,-0.05243264626711596,0.03256706169320958,0.10740002190185317
English,Eve,Brown,5,1570,0.007643312101910828,Logit,64,0.5929936305732484,0.24150601015698264,-0.6147015268919662,0.1948718688074205,0.0016083497914671215
English,Eve,Brown,5,1570,0.007643312101910828,Continuous,64,0.24350318471337576,0.07024775811604617,-0.05298750333164079,0.01285515999883076,3.7578325077782664e-05
English,Eve,Brown,7,1570,0.012101910828025478,LPM,64,0.6343949044585987,0.23208583502819355,-0.0173281816161776,0.032300510302433943,0.5916353288531806
English,Eve,Brown,7,1570,0.012101910828025478,Logit,64,0.6343949044585987,0.23208583502819355,-0.5299150423610398,0.213994794345792,0.013275244243299124
English,Eve,Brown,7,1570,0.012101910828025478,Continuous,64,0.23567788898999087,0.06129141007647107,-0.05888502586515825,0.014973798738354728,8.405384329888023e-05
English,Eve,Brown,10,1570,0.021019108280254776,LPM,64,0.678343949044586,0.2183325011265239,0.027682976716625732,0.03249632731959337,0.3942806061445272
English,Eve,Brown,10,1570,0.021019108280254776,Logit,64,0.678343949044586,0.2183325011265239,-0.23644401317013056,0.23763935659599392,0.31975089114263544
English,Eve,Brown,10,1570,0.021019108280254776,Continuous,64,0.22953215043979378,0.05275797491770284,-0.05412709966466944,0.015494967554587942,0.00047725979873734775
English,Eve,Brown,15,1570,0.03248407643312102,LPM,64,0.721656050955414,0.20099661839867172,0.016225120591544205,0.04156196535004993,0.6962527185481641
English,Eve,Brown,15,1570,0.03248407643312102,Logit,64,0.721656050955414,0.20099661839867172,-0.3894333511512189,0.2635787985158429,0.13954605221024075
English,Eve,Brown,15,1570,0.03248407643312102,Continuous,64,0.22035581721887454,0.04635148103786536,-0.047057958189590805,0.016027530196727126,0.0033239879638661944
English,Eve,Brown,20,1570,0.040127388535031845,LPM,64,0.7560509554140128,0.18455545947964744,0.02621706987529037,0.04792126665758954,0.5843194237432978
English,Eve,Brown,20,1570,0.040127388535031845,Logit,64,0.7560509554140128,0.18455545947964744,-0.515441632801526,0.2858601996512876,0.07136860753653272
English,Eve,Brown,20,1570,0.040127388535031845,Continuous,64,0.2176464116329727,0.04329357461798799,-0.045185519858985765,0.016249442999616972,0.005423470481228694
English,Sarah,Brown,3,6682,0.010176593834181383,LPM,89,0.4458246034121521,0.2471020066509802,0.04896718857917917,0.014132083569146784,0.0005302985874581871
English,Sarah,Brown,3,6682,0.010176593834181383,Logit,89,0.4458246034121521,0.2471020066509802,0.12811957334408802,0.0850544024436554,0.13198376166735148
English,Sarah,Brown,3,6682,0.010176593834181383,Continuous,89,0.22463334331038612,0.08562304653694547,0.0024480431075026396,0.0201767111145567,0.9034295511054942
English,Sarah,Brown,5,6682,0.015863513917988625,LPM,89,0.5296318467524693,0.24915924178162113,0.056982384133801335,0.01762933416170063,0.0012282031353625484
English,Sarah,Brown,5,6682,0.015863513917988625,Logit,89,0.5296318467524693,0.24915924178162113,0.07466645714490758,0.08739159349953131,0.39288922909941904
