scope,window,beta_A,se_A,p_A,I2_A,beta_B,se_B,p_B,I2_B,delta_beta,pct_change
FULL,5,0.023791608052464348,0.007712640166671987,0.002037196481458503,60.5667523229727,0.02411087833384604,0.007866733561715559,0.0021773106839979572,63.44660594536643,0.0003192702813816922,1.3419449441065503
DROP-MANC,5,0.03590789658975766,0.01054288153936889,0.0006594870423068944,68.25033857370542,0.03630409584475502,0.010532568062871398,0.0005671806042470973,70.2018822783698,0.0003961992549973564,1.1033763952366065
FULL,10,0.03387648456815938,0.009548113392212395,0.00038820244958159833,49.92911003734495,0.03253015257145573,0.008653016414778902,0.0001703211290569051,36.12785633858222,-0.0013463319967036494,-3.974237627859035
DROP-MANC,10,0.04845978735298271,0.013162176804266531,0.000231642437609203,59.70164377584468,0.044552743300648324,0.011640758052528125,0.0001295534117617958,46.57022839808553,-0.003907044052334385,-8.062445722007292
