child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Adam,base,6707,90,0.6851051140599373,0.06564324886213183,0.031648706294627967,0.03806806734174407,0.32469972695580274,,,,,,,,,English,10,Brown,Brown
Eve,base,1570,64,0.678343949044586,0.027682976716625732,0.03249632731959337,0.3942806061445272,0.3655793506850381,,,,,,,,,English,10,Brown,Brown
Sarah,base,6682,89,0.6412750673451063,0.04212805492971463,0.05206102833681013,0.41839712345872737,0.3191388049648528,,,,,,,,,English,10,Brown,Brown
Anne,base,6175,83,0.5509311740890688,0.03791986716361323,0.0406940135328096,0.35142483852215267,0.28243694058359914,,,,,,,,,English-Manchester,10,Manchester,Manchester
Aran,base,5762,88,0.6291218326969802,0.033591962399680805,0.046765770587493656,0.4725708882687313,0.3255083127604569,,,,,,,,,English-Manchester,10,Manchester,Manchester
Becky,base,2415,70,0.5300207039337475,0.0004857894369189042,0.05798493857326575,0.9933155166344364,0.30169358710697003,,,,,,,,,English-Manchester,10,Manchester,Manchester
Carl,base,5983,83,0.625940163797426,-0.04107345755082263,0.04665700510723729,0.37868176962897204,0.30425272432075356,,,,,,,,,English-Manchester,10,Manchester,Manchester
Dominic,base,1575,56,0.6152380952380953,0.050041021216700315,0.029931200429353568,0.09455032107304373,0.2026254376295309,,,,,,,,,English-Manchester,10,Manchester,Manchester
Gail,base,1526,67,0.5334207077326344,0.02327825986252552,0.022792761118587836,0.3071120577011107,0.27066435576892056,,,,,,,,,English-Manchester,10,Manchester,Manchester
Joel,base,3532,78,0.5931483578708947,0.04370910591311919,0.035917209233258085,0.22362686180131897,0.33798076821332157,,,,,,,,,English-Manchester,10,Manchester,Manchester
John,base,14831,101,0.5314543860832041,-0.02616077638492452,0.0441933117420765,0.5538758047781454,0.291884338061176,,,,,,,,,English-Manchester,10,Manchester,Manchester
Liz,base,8212,90,0.49184120798830977,-0.026823153740932727,0.07619854995656782,0.7248258205546697,0.2678144989174396,,,,,,,,,English-Manchester,10,Manchester,Manchester
Ruth,base,9241,92,0.507196190888432,-0.019369176272848083,0.05532965653750725,0.7262872034872002,0.27846518348670624,,,,,,,,,English-Manchester,10,Manchester,Manchester
Warren,base,18281,100,0.5724522728515945,-0.03424490703746274,0.033780499401888785,0.3107031079116128,0.3312808465228939,,,,,,,,,English-Manchester,10,Manchester,Manchester
Abigail,base,4296,94,0.5491154562383612,0.033648749909709424,0.055961833425663826,0.5476532856222213,0.3164040680047311,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Anne,base,2042,71,0.5582761998041136,0.05033931410022249,0.025372508111969883,0.04725470634401045,0.22783773050177059,,,,,,,,,English-UK,10,Manchester,Manchester
Aran,base,792,54,0.6452020202020202,0.06776493817271155,0.045005762335362125,0.13214556313679113,0.3169923095562227,,,,,,,,,English-UK,10,Manchester,Manchester
Becky,base,627,55,0.594896331738437,-0.03247422124232882,0.056416323922106215,0.5648737748604775,0.2762015160535315,,,,,,,,,English-UK,10,Manchester,Manchester
Carl,base,2512,74,0.6512738853503185,-0.00481937690568723,0.040678415569900456,0.9056912711058265,0.3261222704326242,,,,,,,,,English-UK,10,Manchester,Manchester
Dominic,base,1536,59,0.6178385416666666,0.03674600140360651,0.01775699489115299,0.038510276430140995,0.20980129383978396,,,,,,,,,English-UK,10,Manchester,Manchester
Eleanor,base,43709,121,0.5638426868608296,0.029925599437529378,0.026496775635414693,0.25872688849919323,0.3146066240360831,,,,,,,,,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Frances,base,1451,74,0.6092350103376981,-0.06210042204579193,0.06512956393736076,0.34034159512382056,0.34549823182575046,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Fraser,base,13062,100,0.5679834634818558,-0.014940581319016839,0.01608310111665591,0.35290905252783966,0.2668048491985623,,,,,,,,,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Geoffrey,base,1853,74,0.5607123583378305,0.15055768686912308,0.04279238501115633,0.0004342736845862764,0.35621278407295354,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Helen,base,515,54,0.625242718446602,0.10196569560383235,0.05237802990763991,0.051567540226482356,0.34162576180021054,,,,,,,,,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Jack,base,401,47,0.46384039900249374,0.02246029233364827,0.042902412765904334,0.6006120930152257,0.39201122759308527,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Jason,base,320,45,0.459375,0.0355624819312953,0.04350410491550484,0.4136706373817558,0.296621073074802,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Joel,base,277,36,0.6137184115523465,-0.019609105785455307,0.03047013833632183,0.5198662546534898,0.3895289130030174,,,,,,,,,English-UK,10,Manchester,Manchester
John,base,3875,82,0.5803870967741935,-0.033208271938064256,0.054603955042406456,0.5430773455344081,0.3220915996267435,,,,,,,,,English-UK,10,Manchester,Manchester
Jonathan,base,240,39,0.6583333333333333,0.1476740235685039,0.06878085110254598,0.031791503497701046,0.35765368725222146,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Laura,base,588,53,0.5714285714285714,0.13127955204957925,0.05036342040186635,0.009143413298094514,0.3700660664666814,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Liz,base,4183,78,0.48171169017451587,0.05080740715416811,0.06101150156769386,0.4049850065670638,0.27417155566361673,,,,,,,,,English-UK,10,Manchester,Manchester
Neville,base,1330,63,0.3398496240601504,-0.034133251104506115,0.058603587454080994,0.5602683039756924,0.1419637209906327,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Nicole,base,1564,71,0.49168797953964194,0.08499528576272589,0.021122235512723284,5.722470670853366e-05,0.2734691366434723,,,,,,,,,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Penny,base,357,40,0.6722689075630253,-0.0009329106478605798,0.08143177370225725,0.9908593576375302,0.2751584396189445,,,,,,,,,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
