child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Adam,with_rplus,6707,90,0.5822275234829283,0.017995185463805248,0.019528161876033644,0.3567898609166007,0.3163692340701334,0.0033143148615447714,0.3734187920608597,0.027319529110177286,0.005988113484757824,0.01048020244816682,0.009056315547831685,0.013149942858557771,0.043102893761656,English,5,Brown,Brown
Eve,with_rplus,1570,64,0.5929936305732484,-0.0513718251148092,0.032950700558641084,0.11898429213203829,0.31174024663867916,-0.014813801236272971,0.10077831985920505,0.0030625669509176433,0.8332531354913044,0.006623059700427088,0.5259577593258626,-0.003536022614123122,0.6695960306810893,English,5,Brown,Brown
Sarah,with_rplus,6682,89,0.5296318467524693,0.05855276104303512,0.016671798526065776,0.00044460702901578876,0.30280022450247146,-0.003650578453344387,0.45260594550647326,0.005995560207001106,0.5611531051697923,-0.0002442017916809954,0.9669897194008458,-0.006919282891574918,0.2373982535098199,English,5,Brown,Brown
Anne,with_rplus,6175,83,0.417165991902834,0.019702732071371028,0.017782202583714782,0.26786056249246526,0.21624826814682307,0.003610517119192065,0.3853209555129874,-0.009078357857517639,0.27255737667952684,0.003503180407029745,0.49326010091280625,-0.0038423035348178628,0.20824354900361464,English-Manchester,5,Manchester,Manchester
Aran,with_rplus,5762,88,0.5095452967719541,0.027696348861634856,0.022278983174333675,0.21380874481698553,0.29458083778398625,0.0068097252436016605,0.08296786155703191,0.029802559090998465,0.0013722404935400732,-0.0014383609488019611,0.7678006412758475,0.011664786282071246,0.012044648026655006,English-Manchester,5,Manchester,Manchester
Becky,with_rplus,2415,70,0.4380952380952381,-0.027451269853611134,0.039573701470982284,0.4878863251493535,0.2610585130100267,0.011855111510232604,0.052281298053604854,-0.005258764325286322,0.6246908210229302,-0.012841320330974456,0.08452109667515526,0.0008000897245272662,0.8836278466111345,English-Manchester,5,Manchester,Manchester
Carl,with_rplus,5983,83,0.5189704161791743,-0.00693138861361608,0.03241414448330428,0.8306730829558785,0.2656918969241693,0.010789224163264319,0.1627389007882254,0.028026397940207587,0.15898409374195233,0.000679040082823058,0.9243254804392455,0.005602236917009344,0.4894499907206551,English-Manchester,5,Manchester,Manchester
Dominic,with_rplus,1575,56,0.48,0.025404300713922755,0.03721374916888772,0.4948223443588582,0.13495614803384892,0.004159324690908828,0.5071258458486843,-0.015552606314516135,0.2519709569733798,0.008323131027316836,0.27654113917086554,0.011790017822176906,0.13649211669813882,English-Manchester,5,Manchester,Manchester
Gail,with_rplus,1526,67,0.41546526867627787,0.01792610120604581,0.031196951596431335,0.5655546353456642,0.20298812007675515,-0.035411954663659616,0.00623500040431115,0.0216793059036302,0.06327931748036851,-0.01626452400147506,0.17363893084896465,0.014444004048431006,0.04413488754692356,English-Manchester,5,Manchester,Manchester
Joel,with_rplus,3532,78,0.4909399773499434,0.010412439724168637,0.02910490599585197,0.7205263073273576,0.28974641558687886,0.0022314238417766325,0.8059294440788027,-0.0033392031100348317,0.7828410032408386,0.018417334089705334,0.048549159227878655,-0.006272013921166407,0.2541492209317755,English-Manchester,5,Manchester,Manchester
John,with_rplus,14831,101,0.40995212730092373,-0.024813446121968324,0.02347021602188475,0.29040605519759266,0.23974917790851313,0.00879504838954822,0.07895183304780572,0.0013876952800018385,0.8751001447869254,0.0018346141052178158,0.7195010675518568,-0.004139007577121026,0.22556752803362423,English-Manchester,5,Manchester,Manchester
Liz,with_rplus,8212,90,0.39064783244033124,-0.013827719427114058,0.050853630707833566,0.7856895783459757,0.22531388775932049,0.00201476667156865,0.6698858054947108,0.006009317840752538,0.5398231898083714,0.0017959131288305167,0.7592355080221013,0.004968447907646682,0.2644241840980496,English-Manchester,5,Manchester,Manchester
