corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Brown,English,BASELINE_OLS_cluster,const,0.507020959409766,0.024000315558931423,21.125595543308776,4.627541267948193e-99,0.4599812052966641,0.5540607135228679
Brown,English,BASELINE_OLS_cluster,age_post,0.05473586398346684,0.05001010272393205,1.0944961318240465,0.2737374429622256,-0.04328213621858843,0.15275386418552211
Brown,English,BASELINE_OLS_cluster,COI_z,0.16390504762919889,0.019795292571829895,8.280001269718408,1.2317396781278667e-16,0.12510698712497903,0.20270310813341874
Brown,English,BASELINE_OLS_cluster,age_x_COI,0.03275880234753096,0.03546454350728815,0.9237057384031703,0.35563954360418026,-0.036750425654907624,0.10226803034996954
Brown,English,BASELINE_MixedLM_cue,Intercept,0.22509588743048237,0.024633607815809793,9.137755586334226,6.37618470813212e-20,,
Brown,English,BASELINE_MixedLM_cue,age_post,0.06352851773218539,0.012913209924967622,4.919653448005468,8.669757720269564e-07,,
Brown,English,BASELINE_MixedLM_cue,COI_z,0.009112004910665095,0.017102971327087435,0.5327732086081227,0.5941905817812927,,
Brown,English,BASELINE_MixedLM_cue,age_x_COI,0.03555977976021233,0.01277634336461623,2.7832517290271226,0.005381703305689658,,
Brown,English,BASELINE_MixedLM_child,Intercept,0.4800429111584378,0.02441887585584142,19.658681832546485,4.8722256653469924e-86,,
Brown,English,BASELINE_MixedLM_child,age_post,0.09091749354525952,0.01761352289463333,5.161800628366129,2.445857071568501e-07,,
Brown,English,BASELINE_MixedLM_child,COI_z,0.16390504762920122,0.013071457493364405,12.539156227406622,4.558229587459192e-36,,
Brown,English,BASELINE_MixedLM_child,age_x_COI,0.03246622609081913,0.013595700512532375,2.387977438962568,0.016941381748820705,,
Brown,English,SPEC1_OLS_cluster,const,0.5038045272470963,0.013406423241389886,37.57933925968351,4.676133116822305e-309,0.47752842053247146,0.5300806339617212
Brown,English,SPEC1_OLS_cluster,age_post,0.020100432168138796,0.013260708972718407,1.515788651232142,0.12957280261509677,-0.005890079827856422,0.046090944164134014
Brown,English,SPEC1_OLS_cluster,COI_z,0.09398860953071786,0.019001903798405245,4.946273306499212,7.564772993961529e-07,0.056745562448148726,0.131231656613287
Brown,English,SPEC1_OLS_cluster,age_x_COI,-0.0449586048193626,0.020768515120637925,-2.1647481564383333,0.03040697700919507,-0.08566414646818846,-0.004253063170536732
Brown,English,SPEC1_OLS_cluster,log_cue_freq_z,0.06566488168802527,0.024445821364065735,2.686139308231619,0.007228294446096691,0.01775195224195661,0.11357781113409393
Brown,English,SPEC1_OLS_cluster,prior_local_freq_z,0.12433625743223736,0.012109346549222707,10.267792479703907,9.843118539720891e-25,0.10060237431944646,0.14807014054502826
Brown,English,SPEC1_OLS_cluster,age_x_log_cue_freq,0.09055615772960546,0.024610246466819915,3.679611979981399,0.00023358910172721067,0.04232096100398431,0.1387913544552266
Brown,English,SPEC1_OLS_cluster,COI_x_log_cue_freq,0.04507405055766812,0.006066688105205933,7.429762297980882,1.0879300744596839e-13,0.033183560366026946,0.05696454074930929
Brown,English,SPEC1_MixedLM_cue,Intercept,0.4677810559938473,0.019224185838141533,24.332944964865636,8.786684515590794e-131,,
Brown,English,SPEC1_MixedLM_cue,age_post,0.02924969739092158,0.012741439492692002,2.295635230830714,0.021696746606213173,,
Brown,English,SPEC1_MixedLM_cue,COI_z,0.08701920616696508,0.025005355037728733,3.48002282053857,0.0005013710746077377,,
Brown,English,SPEC1_MixedLM_cue,age_x_COI,-0.0443213961522669,0.02123300128484529,-2.0873825399285675,0.03685356897980269,,
Brown,English,SPEC1_MixedLM_cue,log_cue_freq_z,0.04854182667646179,0.025426928451591193,1.909071587977198,0.056252857346541243,,
Brown,English,SPEC1_MixedLM_cue,prior_local_freq_z,0.11540522216920632,0.004940544667874137,23.35880554215573,1.121562941203808e-120,,
Brown,English,SPEC1_MixedLM_cue,age_x_log_cue_freq,0.09008418297106001,0.02286285423638801,3.9401984563976282,8.141422951027169e-05,,
Brown,English,SPEC1_MixedLM_cue,COI_x_log_cue_freq,0.034092253813136006,0.006350314727632682,5.3685927824627955,7.935336471742302e-08,,
