corpus,language,window,spec,predictor,beta,se,p,p_naive,ci95_low,ci95_high
Brown,English,10,C_OLS_cluster,const,0.5815227616741856,0.02980612138397094,8.996665800191027e-85,0.0,0.5231038372427734,0.6399416861055978
Brown,English,10,C_OLS_cluster,logFreq_z,0.24790960561466716,0.011098152385514879,1.5825282348225124e-110,0.0,0.2261576266441207,0.2696615845852136
Brown,English,10,C_OLS_cluster,COI_z,0.03810146209000989,0.030213987723656837,0.20728948747369902,0.001821740903951383,-0.021116865677692838,0.09731978985771261
Brown,English,10,C_OLS_cluster,COI_x_logFreq,0.06050940484372129,0.006944793893182395,2.9615647949131886e-18,9.76084745253429e-94,0.04689785893303009,0.0741209507544125
Brown,English,10,C_OLS_cluster,R_between_z,0.015871082321895276,0.011530154426042459,0.16867158968426654,5.5936479287785346e-06,-0.006727605089333042,0.03846976973312359
Brown,English,10,C_OLS_cluster,R_within_z,0.011020846489834923,0.012673335430095016,0.38451412029082954,0.34850134705454006,-0.013818434517146743,0.03586012749681659
Brown,English,10,C_OLS_cluster,COI_x_R_between,0.00031664073456206436,0.006024029537174986,0.9580801415665108,0.8997222606851584,-0.011490240200106399,0.012123521669230527
Brown,English,10,C_OLS_cluster,COI_x_R_within,-0.009173852883165325,0.01191234469404206,0.44123279678269645,0.43098361017928594,-0.03252161945491457,0.014173913688583922
Brown,English,10,C_OLS_cluster,age_post,0.03842194763389034,0.02993346290027876,0.19928949725480827,0.0015465662341561516,-0.020246561583221898,0.09709045685100258
Brown,English,10,C_OLS_cluster,age_x_COI,0.01896668112669317,0.026679186443255606,0.47713581158343155,0.11407518279041498,-0.033323563438917084,0.07125692569230342
Brown,English,10,C_OLS_cluster,age_x_R_within,-0.01742827868592645,0.013704186069169632,0.20346247656766825,0.15278308400535026,-0.04428798981893446,0.009431432447081563
Brown,English,10,C_OLS_cluster,age_x_COI_x_R_within,0.009990319859371512,0.012663879517610404,0.43018036512874713,0.4080430782043247,-0.014830427899699353,0.03481106761844238
Brown,English,10,C_MixedLM,Intercept,0.5191741578822956,0.02106933984390004,4.571232995569901e-134,,,
Brown,English,10,C_MixedLM,logFreq_z,0.2070766250244197,0.014310969703553385,1.8806475600721598e-47,,,
Brown,English,10,C_MixedLM,COI_z,0.02658631547433815,0.020434993611526668,0.19325194253971023,,,
Brown,English,10,C_MixedLM,COI_x_logFreq,0.04649822517150938,0.006560486052011828,1.3643903300503543e-12,,,
Brown,English,10,C_MixedLM,R_between_z,0.012127653216766177,0.007205548280552901,0.09235587133921914,,,
Brown,English,10,C_MixedLM,R_within_z,0.010698706009552096,0.011597266512377935,0.35625759602756246,,,
Brown,English,10,C_MixedLM,COI_x_R_between,0.0027847661027901966,0.00385596509162772,0.47017341829344517,,,
Brown,English,10,C_MixedLM,COI_x_R_within,-0.00921967689312973,0.011519670455198541,0.42351263494357005,,,
Brown,English,10,C_MixedLM,age_post,0.0540974769904566,0.01505053308517289,0.0003251531963803412,,,
Brown,English,10,C_MixedLM,age_x_COI,0.03450725959370871,0.014470754157288367,0.01709673956680128,,,
Brown,English,10,C_MixedLM,age_x_R_within,-0.019593045104438923,0.012029834547438412,0.10337559949494883,,,
Brown,English,10,C_MixedLM,age_x_COI_x_R_within,0.00974044662796489,0.011942797413030011,0.41473368937085187,,,
Manchester,English-Manchester,10,C_OLS_cluster,const,0.3884426061081013,0.02672238511017024,7.14241435825155e-48,0.0,0.3360676937111582,0.44081751850504436
Manchester,English-Manchester,10,C_OLS_cluster,logFreq_z,0.250386513099761,0.01546963990264252,6.365143877552405e-59,0.0,0.22006657603677796,0.28070645016274404
Manchester,English-Manchester,10,C_OLS_cluster,COI_z,-0.04808116038774854,0.02811625046448307,0.08725027310966271,1.0457625748339043e-15,-0.10318799867844292,0.007025677902945844
Manchester,English-Manchester,10,C_OLS_cluster,COI_x_logFreq,0.03718487818170498,0.009313584378710596,6.536870935698906e-05,1.79702602096717e-172,0.01893058823245736,0.05543916813095261
Manchester,English-Manchester,10,C_OLS_cluster,R_between_z,0.02846294537031079,0.0200427910165067,0.15557598737864775,8.47954957391807e-68,-0.010820203171705279,0.06774609391232686
Manchester,English-Manchester,10,C_OLS_cluster,R_within_z,0.011648715963458688,0.01019380990818612,0.25315300922895867,0.07465969879281989,-0.008330784321833661,0.031628216248751034
Manchester,English-Manchester,10,C_OLS_cluster,COI_x_R_between,0.004858124097157442,0.007962953057324031,0.5418016859295822,1.159337153354813e-07,-0.010748977105780771,0.020465225300095653
Manchester,English-Manchester,10,C_OLS_cluster,COI_x_R_within,-0.000966908333335007,0.01061823538927424,0.9274440314996918,0.8788743844892855,-0.02177826727568116,0.019844450609011143
Manchester,English-Manchester,10,C_OLS_cluster,age_post,0.14768681221985583,0.026121493431556113,1.5689990751808392e-08,1.1394027946781887e-131,0.09648962587160625,0.1988839985681054
Manchester,English-Manchester,10,C_OLS_cluster,age_x_COI,0.05716916348050394,0.022165916662174087,0.009904455116202996,2.991580520618363e-21,0.01372476513832644,0.10061356182268144
Manchester,English-Manchester,10,C_OLS_cluster,age_x_R_within,-0.01121098145158541,0.011238334035787292,0.31848978921980764,0.09502263948547231,-0.033237711407959177,0.010815748504788357
Manchester,English-Manchester,10,C_OLS_cluster,age_x_COI_x_R_within,-0.0012984201540875446,0.011908203498725222,0.9131741180168096,0.8424427018345629,-0.02463807013216284,0.022041229823987755
Manchester,English-Manchester,10,C_MixedLM,Intercept,0.29880780830436743,0.01105908181952145,8.786914186937807e-161,,,
