corpus,language,window,spec,predictor,beta,se,p,p_naive,ci95_low,ci95_high
Brown,English,5,C_OLS_cluster,const,0.44694881666871056,0.03444380698842661,1.6701848352674715e-38,7.82675453805237e-253,0.3794401954809454,0.5144574378564757
Brown,English,5,C_OLS_cluster,logFreq_z,0.24180600682226622,0.018637304142897167,1.7114901015895366e-38,0.0,0.20527756193326863,0.2783344517112638
Brown,English,5,C_OLS_cluster,COI_z,0.026899402001019784,0.03099282263251522,0.3854361618049741,0.042212500246939746,-0.033845414137947914,0.08764421813998749
Brown,English,5,C_OLS_cluster,COI_x_logFreq,0.07296566990921129,0.00809428539510715,1.9782980257686032e-19,2.9559182924257313e-115,0.057101162054212715,0.08883017776420986
Brown,English,5,C_OLS_cluster,R_between_z,-0.002440377545062264,0.01054728730606274,0.8170235631032754,0.5192138027470535,-0.023112680799541725,0.018231925709417198
Brown,English,5,C_OLS_cluster,R_within_z,0.009468136163909508,0.014838651457073113,0.523426454762898,0.45733702324006764,-0.019615086271096593,0.038551358598915605
Brown,English,5,C_OLS_cluster,COI_x_R_between,-0.009099180716480706,0.0058187718174373,0.11787321049720163,0.0008347246152969354,-0.02050376391291449,0.0023054024799530753
Brown,English,5,C_OLS_cluster,COI_x_R_within,-0.01072594635512317,0.012546327126042284,0.39260248190064617,0.3955149819729706,-0.03531629566042397,0.013864402950177629
Brown,English,5,C_OLS_cluster,age_post,0.059057837887927726,0.041516642466124375,0.15487825886805653,7.131787356414655e-06,-0.022313286104702214,0.14042896188055767
Brown,English,5,C_OLS_cluster,age_x_COI,0.04019849353406722,0.03340082912673233,0.22877599417327565,0.002000940715995811,-0.025265928608104574,0.10566291567623902
Brown,English,5,C_OLS_cluster,age_x_R_within,-0.01566665384019524,0.013657243880321393,0.25132730160123606,0.2356084232125948,-0.042434359973705225,0.011101052293314748
Brown,English,5,C_OLS_cluster,age_x_COI_x_R_within,0.011443387756728277,0.011523658861538258,0.32069327127214875,0.3818400209021547,-0.011142568582012551,0.03402934409546911
Brown,English,5,C_MixedLM,Intercept,0.3837227639496646,0.02085822240146919,1.395749887203606e-75,,,
Brown,English,5,C_MixedLM,logFreq_z,0.17493812413989646,0.013762830976435603,5.143154095144646e-37,,,
Brown,English,5,C_MixedLM,COI_z,0.021752792242723043,0.02057401869810037,0.29037730394591454,,,
Brown,English,5,C_MixedLM,COI_x_logFreq,0.047287772506293846,0.006512653907026312,3.845040543830333e-13,,,
Brown,English,5,C_MixedLM,R_between_z,0.008131997764467722,0.007047195152729904,0.24852724759008582,,,
Brown,English,5,C_MixedLM,R_within_z,0.009198601410953263,0.012586220664815566,0.46487262172333954,,,
Brown,English,5,C_MixedLM,COI_x_R_between,0.0005712971395724569,0.003910463017332229,0.8838467881399539,,,
