threshold_months,corpus,n_children,n_post,n_cues,spec,predictor,beta,se,t,p,ci95_low,ci95_high,tau2,I2_pct
9.0,English-UK,17,291769.0,137.0,SPEC1b_corpus_refit,log_cue_freq_z,0.106317259821999,0.02195132946417782,4.843317576527526,1.2768895397308176e-06,0.06329344465943754,0.14934107498456045,,
9.0,Brown,2,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.0482810110520767,0.012310313890710774,,8.781817758474197e-05,,,0.0,0.0
9.0,English-UK,17,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.029214037490620706,0.012119518028068169,,0.015930890110904317,,,0.0014535161406496232,68.82811112107012
9.0,Manchester,8,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,-0.003795490791640234,0.009665877235399375,,0.6945639358160693,,,0.0,0.0
9.0,ALL,27,,,SPEC1c_meta_overall,pooled_COI_x_cumulative,0.021648951464128735,0.008446135245663117,,0.010371873793513009,,,0.0010350891218118895,62.55635348693548
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,const,0.5300364849999455,0.01138656320034183,46.54929460928417,0.0,0.5077192312195864,0.5523537387803046,,
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_z,0.03546115901658374,0.012495786710531738,2.8378492557572432,0.004541862718233567,0.010969867105447301,0.05995245092772018,,
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.033205954421325026,0.011707535173835722,2.8362891017004572,0.004564111081604232,0.010259607132871131,0.05615230170977892,,
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,COI_x_cumulative,0.04982997309749068,0.013790034315131438,3.613477092135556,0.0003021180588992062,0.022802002494261592,0.07685794370071977,,
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,prior_local_freq_z,0.10929582312057415,0.016690100091130405,6.548542101233837,5.810147828187937e-11,0.07658382804358987,0.14200781819755842,,
6.0,Brown,2,13389.0,98.0,SPEC1b_corpus_refit,log_cue_freq_z,0.13541492528787993,0.01957303055841443,6.91844448327728,4.566296703351221e-12,0.09705249032508576,0.1737773602506741,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,const,0.44236727950699906,0.010359171959384109,42.70295746044353,0.0,0.42206367555694896,0.46267088345704915,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,COI_z,-0.016838626966058437,0.013064253088727508,-1.2889085087143366,0.1974298956288698,-0.042444092504880515,0.008766838572763638,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.04483296213924879,0.013634867133221304,3.2881114059420087,0.0010086191840861004,0.01810911362414614,0.07155681065435143,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,COI_x_cumulative,-0.006510507431345962,0.013617909740564803,-0.47808419613419606,0.6325902799337131,-0.033201120067570165,0.020180105204878243,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,prior_local_freq_z,0.14540197077546224,0.017209284295918555,8.44904228875727,2.9370208184922875e-17,0.11167239335575113,0.17913154819517335,,
6.0,Manchester,11,77533.0,111.0,SPEC1b_corpus_refit,log_cue_freq_z,0.10484679417467044,0.02162419150928225,4.848587940486221,1.243434060386636e-06,0.062464157621680394,0.14722943072766048,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,const,0.39434708425153414,0.01013149840444962,38.922878779543815,0.0,0.3744897122693879,0.4142044562336804,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,COI_z,0.008007739520605024,0.009388104878095035,0.8529665597674805,0.39367784879451617,-0.01039260792354604,0.02640808696475609,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,cumulative_cue_attempts_z,0.024243552422631542,0.009934338728211934,2.4403790816779507,0.014671856822297446,0.0047726063051147065,0.043714498540148375,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,COI_x_cumulative,0.023790886550615713,0.009806608103457235,2.426005638201086,0.01526603310765353,0.0045702878573408885,0.043011485243890535,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,prior_local_freq_z,0.15199514856895766,0.01789212410538061,8.495086870275447,1.977849301105787e-17,0.11692722971549073,0.18706306742242457,,
6.0,English-UK,22,297895.0,137.0,SPEC1b_corpus_refit,log_cue_freq_z,0.10703443765936763,0.02188902828911971,4.889867025872994,1.0090411763144138e-06,0.0641327305561146,0.14993614476262065,,
6.0,Brown,2,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.0482810110520767,0.012310313890710774,,8.781817758474197e-05,,,0.0,0.0
6.0,English-UK,22,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.029328783933587704,0.010567167168801902,,0.005512313196405216,,,0.0014117510468755847,67.31249283728266
6.0,Manchester,11,,,SPEC1c_meta_per_corpus,pooled_COI_x_cumulative,0.0014355317389634645,0.008104310291190743,,0.8594047991926528,,,0.0,0.0
6.0,ALL,35,,,SPEC1c_meta_overall,pooled_COI_x_cumulative,0.02193120080070823,0.007261908832782496,,0.0025274754980395553,,,0.0009545579034972838,59.68412717238184
