subcorpus,n_files,stimulus_standardization,structured_play_pct,pct_INV,mot_to_chi_ratio,density_utt_per_min
Brown,30,,0.0,0.0,0.7022282680167451,23.136781609195403
Manchester,110,0.30434782608695654,0.9,0.03633302286350325,1.5547180842358224,44.24634117647059
UK_long_long,50,0.0,0.56,0.03437075480991998,1.271082697078914,44.25666666666667
UK_short_obs,112,0.4464285714285714,0.0,0.0,0.7278975118166696,
