child,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,beta_COI,se_COI,beta_cum,se_cum,r2,corpus_label,language,n_post,n_cues_post,age_min_post,age_max_post,obs_window_months,cumulative_min,cumulative_max,cumulative_range,cumulative_mean
Jack,401,47,0.3516209476309227,0.0112869058533567,0.0390235118363477,0.772402718293309,-0.0222311134139679,0.030149084504919,-0.0006485627506796,0.0460648798827255,0.303362372982959,English-UK,English-UK,401,47,24.06570302233903,57.03285151116951,32.96714848883048,0,140,140,44.947630922693264
Jason,320,45,0.353125,0.0788506539378073,0.0403760448438525,0.0508306356808585,-0.01745215778221,0.0207674489300393,0.0881442918126296,0.03758022641399,0.1961981635564735,English-UK,English-UK,320,45,24.26281208935611,41.98554533508541,17.7227332457293,0,69,69,17.775
Joel,277,36,0.5018050541516246,0.0079309957218493,0.0400660629383696,0.8430857740468551,0.0228297971574073,0.0343750851338383,0.0229652589575196,0.0355108111131791,0.3035982539957519,English-UK,English-UK,277,36,32.29566360052562,34.13140604467806,1.8357424441524373,0,155,155,55.851985559566785
John,3875,82,0.4658064516129032,-0.0370997015287932,0.0309440076992982,0.2305551355417218,-0.0502528962787791,0.0224926727704929,0.0827147115221839,0.0353880230423437,0.2853896423128153,English-UK,English-UK,3875,82,25.06570302233903,34.55847568988173,9.492772667542702,0,1090,1090,264.3445161290323
Jonathan,240,39,0.55,0.085680576612784,0.059134744666222,0.1473643536691933,0.0848032601100692,0.0346573303342193,-0.0280454353520219,0.0311003256996419,0.2811549696042917,English-UK,English-UK,240,39,35.9526938239159,55.45992115637319,19.50722733245729,0,57,57,12.2625
Laura,588,53,0.4370748299319728,0.1417570009488882,0.0675606370421777,0.0358858187841972,0.0711456964739026,0.0317859272926996,-0.0373654749501245,0.0589638803590066,0.2407079628064846,English-UK,English-UK,588,53,24.197109067017085,33.42706964520368,9.229960578186596,0,133,133,29.321428571428573
Liz,4183,78,0.3813052832895051,0.0558965397307332,0.0460846115528629,0.225163787767254,0.0212762132238283,0.0318266415985798,0.0914137480041681,0.0204263918141281,0.2453198196067867,English-UK,English-UK,4183,78,24.459921156373195,34.59132720105125,10.131406044678055,0,972,972,195.35644274444178
Neville,1330,63,0.2609022556390977,-0.0304360070978027,0.0288401143103461,0.2912717418942118,0.0215211568901423,0.0217800554205034,0.0345115003566317,0.0160154222185815,0.1220536396223834,English-UK,English-UK,1330,63,24.229960578186596,41.88699080157687,17.657030223390276,0,293,293,55.79022556390977
Nicole,1564,71,0.3644501278772378,0.0855125347225032,0.0211341581676276,5.20609796303451e-05,0.0295756547700002,0.0093339497501588,-0.0081188569092432,0.0220651320145549,0.1793007929673635,English-UK,English-UK,1564,71,27.09855453350854,35.36136662286465,8.26281208935611,0,322,322,68.84910485933504
Penny,357,40,0.6106442577030813,0.0416182640294154,0.0612805667997161,0.4970473000531542,0.0152459115793149,0.0610302511622469,0.0374028040218248,0.0677520998967336,0.2768249718009615,English-UK,English-UK,357,40,33.16425755584757,41.85413929040736,8.68988173455979,0,101,101,26.826330532212886
Ruth,648,50,0.4521604938271605,-0.0101910136196689,0.0351467136769858,0.7718496137610357,0.0342646565033939,0.0277971869533648,0.0091352900120856,0.0257302271933364,0.2319226187921494,English-UK,English-UK,648,50,31.32851511169514,32.2299605781866,0.9014454664914595,0,144,144,28.873456790123456
Samantha,1386,65,0.4148629148629149,-0.0276872793559952,0.0597968962307105,0.643348587436859,-0.0500695719141495,0.0457881024829872,0.1759360329767699,0.0546540707966316,0.301263818271053,English-UK,English-UK,1386,65,26.9526938239159,42.36136662286465,15.40867279894875,0,295,295,66.26334776334777
Sean,4918,94,0.4211061407076047,0.0508668401930343,0.0380796960404061,0.1816148056262366,0.0216718052665505,0.0306422091665161,0.0705527448048501,0.0398623228380919,0.3271787759387138,English-UK,English-UK,4918,94,26.919842312746383,42.29566360052562,15.375821287779239,0,1468,1468,374.3184221228141
Stella,1484,64,0.3712938005390835,0.0870643240029002,0.035768006152786,0.0149272323935275,0.0357770998059976,0.029863641423225,-0.0205715103341513,0.0518870421463522,0.2546056671020954,English-UK,English-UK,1484,64,26.985545335085416,26.985545335085416,0.0,0,309,309,62.94070080862534
Thomas,166827,136,0.3821204001750316,0.0161079297080085,0.015717940196712,0.3054520238794156,0.0103067240492266,0.0134037426111034,0.0755295845326212,0.0150444032076393,0.281058283834944,English-UK,English-UK,166827,136,24.39421813403417,59.65703022339028,35.26281208935611,0,34625,34625,6716.775893590366
Warren,42815,124,0.3831601074389816,-0.0085104954375197,0.0191229877088005,0.656290810297727,-0.0049547071177768,0.0177738390300548,0.0823989608047578,0.0198301464425399,0.2812254502950684,English-UK,English-UK,42815,124,24.09855453350854,33.65703022339028,9.558475689881739,0,8210,8210,1652.569940441434
